BEZIER
SNSim-SWANS Simulation Log File
Mon, 21 Aug 2006 14:52:43 -0500
Number of nodes    : 500
Area               : 4000 x 4000 sqft
batCapacity        : 810000 [mJoules]
Number of S-D pairs: 0
Sampling period    : 16000 ms


Time[h]	eLft[%]	PktDlvrd	AvgLat	Deads
0	95	0	0	0
1	93	0	0	0
2	92	1	3312	0
3	91	451	2203	0
4	90	901	2564	0
5	89	1351	2468	0
6	88	1801	2496	0
7	87	2251	2465	0
8	86	2701	2484	0
9	85	3151	2482	0
10	85	3601	2535	0
11	84	4051	2527	0
12	83	4501	2606	0
13	82	4951	2654	0
14	81	5401	2616	0
15	80	5851	2620	0
16	79	6301	2598	0
17	78	6751	2595	0
18	77	7201	2593	0
19	76	7651	2597	0
20	75	8095	2606	1
21	74	8545	2623	1
22	73	8995	2657	1
23	72	9445	2646	1
24	71	9895	2640	1
25	70	10345	2629	1
